"Titular	Etiqueta	Cuerpo	Tema	URL	Fecha	Fuente	Fecha_extraccion";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La identidad del educador infantil desde las narrativas biográficas	VERDADERO	El trabajo presenta el análisis de 123 entrevistas semiestructuradas realizadas a profesionales de educación infantil de la región de Murcia (España), durante el curso 2019/2020, con la finalidad de identificar los factores que inciden en la construcción identitaria del docente.El contenido se trató de forma sistemática, cualitativa y cuantitativamente, siguiendo las fases de Cisterna (2005), midiendo la frecuencia de aparición de las categorías establecidas mediante triangulación. Los resultados muestran la relevancia de las experiencias de la infancia-adolescencia, la docencia con los alumnos, la formación permanente y la capacidad de adaptabilidad, en contraposición al paso por la universidad y los aspectos normativos.	INFANCIA	https://doi.org/10.11144/javeriana.m14.iein	2021-10-20	Magis Revista Internacional de Investigación en Educación	2026-02-23
Reflexiones sobre los delitos de odio y las víctimas especialmente vulnerables	VERDADERO	Los delitos de odio perpetrados por motivos de racismo, xenofobia, ideología, creencias religiosas, orientación sexual constituyen una realidad que se ha visto incrementada en un 45% desde el año 2013. Las cifras crecen exponencialmente mientras que quienes ostentan la posición de victimarios y de víctimas son cada vez más jóvenes, personas en situación de riesgo, y en general, todas aquellas que pertenecen a algún colectivo especialmente vulnerable. Este repunte, sumado al impacto de las tecnologías disruptivas y el amplio alcance de estas a la hora de generar un resultado dañino, han provocado una ingente preocupación en la sociedad global en cuanto al tratamiento jurídico penal así como procesal de este tipo de conductas.	CRIMINALIDAD	https://doi.org/10.25267/rejucrim.2023.i8.03	2023-01-01	Revista de Estudios Jurídicos y Criminológicos	2026-02-23
Educación Física, deporte e inmigración: analizando críticamente algunas posibilidades para Chile	VERDADERO	El presente artículo tiene por objetivo analizar críticamente las posibilidades que tienen la Educación Física (EF) y el deporte para facilitar los procesos de inclusión social en contextos escolares con presencia migrante. Para ello, se revisan diferentes antecedentes teóricos y empíricos, además de examinar la aplicación de algunos principios y propuestas al contexto chileno. Asimismo, se expone el importante potencial que tienen la EF y las actividades físico-deportivas en general para favorecer la construcción de relaciones sociales positivas entre estudiantes de diferentes culturas y nacionalidades. No obstante, también se describen los riesgos de utilizar este tipo de prácticas sin un sentido educativo, pudiendo derivar en conflictos de diferente índole y profundizar la discriminación. Por ello, se plantea la necesidad de avanzar hacia la consolidación de ambientes educativos interculturales que posibiliten la coexistencia de todas las identidades a partir del respeto mutuo, la equidad y el reconocimiento de la dignidad humana.	CONVIVENCIA Y RACISMO	https://doi.org/10.24197/aefd.0.2021.52-72	2021-11-23	Ágora/Ágora para la educación física y el deporte	2026-02-23
La inmigración a España a fines del siglo XX los que vienen a trabajar y los que vienen a descansar	VERDADERO	El artículo pasa revista a los recientes cambios que se han producido en las corrientes de migración internacional que afectan a España. El agotamiento de la corriente emigratoria española (1973-1975 para las salidas y 1976-1980 para el retorno) ha cedido el paso a la consolidación de un conjunto de flujos inmigratorios procedentes de diferentes áreas (Europa, Latinoamerica, Norte de africa) y que responden a distintos factores de expulsión y atracción.-- ademas del flujo de inmigración laboral procedente del sur que llega a los paises europeos, España esta recibiendo un nuevo flujo migratorio desde el norte y centro de Europa que responde a factores de ocio. Este nuevo flujo pone en relación los procesos de envejecimiento de las poblaciones de estos paises con los sistemas de prestaciones sociales vigentes hasta la fecha, que garantizan a los jubilados el mantenimiento de la capacidad adquisitiva necesaria para afrontar economicamente estos desplazamientos.	TRABAJO	https://doi.org/10.5477/cis/reis.71-72.225	2024-03-07	Revista Española de Investigaciones Sociológicas	2026-02-23
Las iglesias ortodoxas entre lo global, lo nacional y lo transnacional: apuntes sobre el caso español	VERDADERO	El caso de las iglesias ortodoxas y orientales en España resulta paradigmático para comprender la incidencia de los movimientos migratorios y las diásporas transnacionales sobre las particularidades nacionales de los distintos patriarcados presentes, que en la esfera pública se interrelacionan en mayor o menor grado en un contexto marcado por el pluralismo religioso, la aconfesionalidad del Estado y la libertad religiosa consagrada como derecho fundamental. El objetivo general del artículo es, a partir del convulso panorama internacional generado por conflictos como el ruso-ucraniano, analizar la interacción actual de estas iglesias y sus principales dinámicas al hilo de los flujos migratorios transnacionales, tales como el aumento de los números de fieles y de templos y los cambios en las estructuras eclesiásticas de representación e interlocución pública. Para ello, el abordaje metodológico del trabajo atenderá a distintos casos representados por iglesias nacionales, como la rumana y la rusa; “autóctonas”, casos de la Iglesia Ortodoxa Española y de la Iglesia Ortodoxa Hispánica; y pan-ortodoxas, como la griega; además de un conjunto de iglesias “recién llegadas” que, por el momento, cuentan con un menor volumen y grado de implantación.	CONVIVENCIA Y RACISMO	https://doi.org/10.4067/s0718-47272020000100041	2020-06-30	Cultura y religión	2026-02-23
Reto demográfico, migración y arraigo de los jóvenes rurales	VERDADERO	La preocupación sobre la pérdida de población rural ha hecho que los estudios apenas aborden la cuestión de quiénes son los que llegan, los denominados de forma genérica nuevos residentes. Con este propósito, contextualizaremos brevemente la cuestión del poblamiento rural en cuanto ciclos de poblamiento y despoblamiento y destacaremos algunos de los cambios poblacionales acaecidos en las zonas rurales en los últimos años a partir de los datos de la Estadística de Variaciones Residenciales y los Padrones Continuos. En este recorrido nos detendremos en un grupo clave los jóvenes adultos, también denominados tardo-jóvenes. El seguimiento de las tendencias migratorias de este grupo resulta crucial para la comprensión del reto demográfico y de vulnerabilidad al que se enfrentan las áreas rurales. Los principales resultados señalan que la falta de jóvenes tiene que ver con las tendencias de la fecundidad y que precisamente, según desvelan los datos de las series censales y padronales, los flujos migratorios generan saldos positivos para los grupos de jóvenes rurales -tanto por la llegada de jóvenes urbanos como por la entrada de población joven extranjera- a la vez que se incrementa la diversidad poblacional por origen. Sin embargo, estos flujos son incapaces de trastocar el sobre-envejecimiento rural. Finalmente, después del análisis abriremos el debate sobre la capacidad de las áreas rurales para favorecer el arraigo de la diversidad de procedencia de nuevos residentes, cuestión muy relevante a la hora de repensar el proceso de políticas de sostenibilidad social de las áreas rurales.	TRÁMITES DE EXTRANJERÍA	https://doi.org/10.22325/fes/res.2023.205	2024-01-09	Revista Española de Sociología	2026-02-23
Los estudiantes venezolanos en España: un colectivo migratorio cualificado afectado por el conflicto	VERDADERO	Sin constituir un flujo destacado por motivos económicos, los venezolanos han sido una de las nacionalidades más numerosas entre los estudiantes extranjeros en España desde el año 2000. Sin embargo, tras la agudización de la crisis política, estos flujos con destino a España, han cambiado cualitativa y cuantitativamente. Así, mientras constituyen el colectivo más numeroso entre los solicitantes de asilo, los estudiantes disminuyen. Este artículo aborda las consecuencias del conflicto sobre este colectivo migratorio cualificado	ASILO Y REFUGIO	https://doi.org/10.14201/alh.21958	2020-07-14	AMÉRICA LATINA HOY	2026-02-23
Metodología de atención a inmigrantes y refugiados políticos en instituciones de enseñanza no reglada de EL/2	VERDADERO	El presente artículo tiene como fin último la puesta al día y la plasmación de las diversas metodologías que las instituciones de enseñanza no reglada de E/L2 emplean con personas inmigrantes o refugiadas políticas. Para ello, hemos recogido muestras de siete instituciones a fin de esclarecer los componentes ideales necesarios para elaborar un diseño curricular futuro que aúne las ventajas de cada una de ellas. Las asociaciones analizadas que operan en territorio español son las siguientes: Cruz Roja, Cáritas, Accem, CEAR, RedAcoge, ASILIM y La Merced Migraciones.	ASILO Y REFUGIO	https://doi.org/10.37536/rr.1.2.2022.1844	2022-12-26	Recursos para el Aula de Español investigación y enseñanza	2026-02-23
Individuos políticamente descontentos con la democracia	VERDADERO	Este artículo analiza la relación existente entre derecha radical populista y apoyo a la democracia. Para ello, estudia el caso de VOX. En este sentido, la formación de Santiago Abascal, resulta particularmente interesante ya que encaja en la definición de derecha radical populista pero en su discurso, el radicalismo es mucho más fuerte que el populismo. Además, el partido presenta rasgos idiosincrásicos únicos y que juegan un papel fundamental a la hora de entender su voto. Así, por ejemplo, el nacionalismo se expresa a menudo mediante alusiones al período predemocrático en España sin adherirse explícitamente al franquismo. Dos son los principales resultados de este estudio. Por un lado, evaluando el discurso de VOX, especialmente su programa electoral, encontramos que sus líderes aluden recurrentemente a la España predemocrática tanto en temas concretos como en símbolos. En segundo lugar, mostramos que aquellos que expresan un menor apoyo al régimen democrático fueron más proclives a votar a VOX quea otras fuerzas políticas, al menos en las últimas elecciones generales de noviembre de 2019. Además, encontramos que los valores autoritarios, el descontento político y la idea romántica de un pasado glorioso, interactúan con el apoyo al régimen y ayudan a explicar el voto a VOX. Aunque sea necesario un estudio comparativo para evaluar más a fondo esta relación, este artículo puede dar una primera pista de que, haciendo hincapié en el pasado autoritario de su país, algunos partidos de la derecha radical populista consiguen éxito político movilizando a aquellos electores que están menos comprometidos con la democracia.	POLÍTICA Y LEYES	https://doi.org/10.5354/0719-3769.2022.69070	2022-12-20	Estudios Internacionales	2026-02-23
Entre la aceptación de la inmigración y la amenza identitaria. El reflejo en la prensa de los discursos políticos sobre la inmigración durante las elecciones al parlamento de España en abril de 2019	VERDADERO	Este trabajo estudia los discursos políticos que sobre la inmigración reflejaron una muestra de ocho periódicos de alcance nacional y regional durante el mes anterior a las elecciones generales celebradas el 28 de abril de 2019. El objetivo es analizar los discursos enunciados por los distintos actores políticos, prestando especial atención a los encuadres principales desde los que los medios y sus fuentes enfocan sus mensajes. Para el análisis de contenido realizado sobre las piezas seleccionadas, se han empleado encuadres de tipo identitario que califican las unidades de análisis a partir de su visión proactiva, reactiva o neutra hacia la inmigración. A partir de este análisis, se ha observado un escoramiento de los discursos sobre el asunto hacia posiciones más reactivas, especialmente de los partidos de centro-derecha, derivado posiblemente del mayor peso mediático del partido Vox, que ha hecho bandera de este tema. En la comparación entre diarios nacionales y regionales se observan matices que parecen tener más que ver más con su línea editorial que con su ámbito de difusión.	CONVIVENCIA Y RACISMO	https://doi.org/10.5209/esmp.70898	2021-01-20	Estudios sobre el Mensaje Periodístico	2026-02-23
Ideología, polarización afectiva y análisis del discurso	VERDADERO	The purpose of this paper is to explore atension and a desire. The tension is the onewe find between our ability to change ourmind, a crucial component of almost anyconception of progress, and the tendency weapparently show to cling to the core beliefsof the political identity we identify with ina particular context. In order to adopt moreinclusive positions and become better citizens,we would like to be able to detect andreplace our prejudices. And yet, we are dragged,sometimes against our better judgment,toward positions that we inherited from thosewith whom we share the things we careabout. Throughout this paper we wonderhow it is possible to intervene on this tensionin order to retain necessary aspects for bothtendencies. In particular, we explore how itis possible to intervene on this apparent problemby fulfilling a desire: we want to combatbad discourse with more discourse. Theintervention strategies devised to counteractthe negative effects of the rise of polarizationthat we develop are aimed at improving thequality of democratic deliberation. Deliberatingwith those whom we disagree withseems to us to be an essential democraticideal. In this sense, there is no progress withoutdisagreement.	POLÍTICA Y LEYES	https://doi.org/10.15366/bp2022.31.008	2022-12-19	Bajo Palabra	2026-02-23
Los tortuosos caminos de la migración venezolana en Sudamérica: tránsitos precarios y cierre de fronteras	VERDADERO	""Este artículo examina la reciente migración venezolana a Colombia, Perú y Ecuador, que son actualmente los destinos con el mayor número de presencia venezolana en la región sudamericana. El texto centra su análisis en dos características centrales de esta migración: la tendencia a mantener trayectorias migratorias con múltiples destinos y la precariedad laboral. Se sostiene que ambas dimensiones de la dinámica migratoria se relacionan con la crisis económica en los países de acogida y el progresivo endurecimiento de las políticas migratorias. Los movimientos de retorno que ha emprendido la población venezolana desde distintos lugares de América del Sur durante la pandemia de la covid-19 pueden explicarse también a partir de esas dinámicas.""""""	VIGILANCIA DE FRONTERAS	https://doi.org/10.35533/myd.1834.ghm.gcg	2020-05-30	Migración y Desarrollo	2026-02-23";;;;;;;;;;;;;;;;;;;;
"Horizontes educativos ante el auge de la “nueva extrema derecha” en Europa: Un análisis documental	VERDADERO	Ante la irrupción de la “nueva extrema derecha” europea, y la consolidación de su representación parlamentaria tanto en instancias europeas como específicamente nacionales de estos partidos, este artículo analiza las propuestas en materia de política educativa de cuatro de estas organizaciones políticas. De esta manera, la metodología empleada fue el Análisis Documental, tomando como objeto de estudio los programas electorales de Alternativa para Alemania (Alemania), Agrupación Nacional (Francia), Liga Norte (Italia) y VOX (España). Después de identificar los elementos comunes de estos partidos políticos, en pos de desarrollar la sistematización de los datos recogidos, se elaboró una matriz de análisis a partir de una exhaustiva revisión bibliográfica sobre la cuestión. Los resultados reflejan algunas líneas de convergencia entre las organizaciones de “nueva extrema derecha” en relación con el nacionalismo, al papel de la educación en la sociedad y su marcado carácter xenófobo y antiinmigración. De este modo, los resultados muestran que: (i) los cuatro partidos convergen al señalar que el sistema educativo debe perpetuar y legitimar la cultura hegemónica y reforzar la identidad nacional de sus ciudadanos";" (ii) a través de la neutralización del discurso, sin embargo, se esconde un marcado carácter antiinmigrante —específicamente anti–musulmán—, sirviéndose de la defensa de la seguridad nacional, la familia tradicional y las libertades nacionales. A partir de estos resultados, se puede concluir que existe una agenda política común en materia educativa entre los partidos de la “nueva extrema derecha” europea, la cual supone una seria amenaza para los sectores históricamente vulnerables, así como para la población inmigrante.	POLÍTICA Y LEYES	https://doi.org/10.14507/epaa.30.5486	2022-02-22	Education Policy Analysis Archives	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Política migratoria y securitización en la administración Trump (2017-2021)	VERDADERO	El proceso de securitización de las migraciones debe explicarse en un contexto general de crisis de la globalización y del orden liberal internacional. Son principalmente dos las visiones políticas actuales al respecto de la globalización y la movilidad: la posición globalista y la posición escéptica. En este escenario de crisis se está produciendo un auge de las políticas orientadas a la restricción de la libre circulación de las personas impulsadas por fuerzas de la derecha radical populista. Nos ocupamos en este estudio del proceso de securitización de la política migratoria de Estados Unidos durante la Administración Trump y, en particular, en las relaciones con México. Finalmente, analizamos el Pacto Mundial para una Migración Segura, Ordenada y Regular, firmado por Naciones Unidas en 2018, como alternativa de desecuritización de las políticas migratorias. Estudiamos los límites y las potencialidades de este acuerdo para la gobernanza global de las migraciones.	POLÍTICA Y LEYES	https://doi.org/10.14422/cir.i23.y2022.006	2022-04-27	Comillas Journal of International Relations	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Comunicación y trata de personas en contextos de guerra. Caso de estudio del conflicto en Ucrania	VERDADERO	La trata de personas se ha convertido en un problema global, constituyendo uno de los negocios criminales más lucrativos del mundo según la Organización Internacional del Trabajo. Entre los factores que incrementan el riesgo de trata de personas, la guerra es una de las causas que generan un aumento en el número de víctimas. Este texto se centra en el conflicto presente en Ucrania, analizado desde el punto de vista de la comunicación, con la cobertura mediática que se ha dado por parte de los medios con presencia online en español, entendiendo la información como una herramienta ante esta lacra.	CRIMINALIDAD	https://doi.org/10.37467/revvisual.v10.4599	2023-02-01	VISUAL REVIEW International Visual Culture Review / Revista Internacional de Cultura Visual	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Los desequilibrios geodemográficos en Canarias: una expresión de su especialización económica	VERDADERO	Canarias es actualmente la tercera comunidad autónoma con mayor densidad de población detrás de Madrid y País Vasco. Con casi 2,2 millones de habitantes, más una carga de 237 556 turistas/día, se articula un espacio fragmentado con una distribución de la población muy polarizada territorialmente, tanto a nivel regional como en cada isla. La dinámica común en todas ellas ha tendido a una litoralización creciente de las actividades económicas y residenciales, frente a un amplio espacio insular escasamente poblado. Este estudio pretende actualizar el análisis geodemográfico sobre la distribución de la población en Canarias, atendiendo a la relación economía-población. Se plantea que la creciente especialización de su economía en el sector terciario, con fuerte dependencia del turismo, ha profundizado el desequilibrio geodemográfica en las Islas. Para ello, se aplica una metodología apoyada en el manejo de la bibliografía, el análisis geoestadístico, datos económicos y la representación cartográfica del fenómeno analizado a distintas escalas.	ECONOMÍA	https://doi.org/10.21138/bage.3443	2024-01-03	Boletín de la Asociación de Geógrafos Españoles	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
