Titular	Etiqueta	Cuerpo	TEMA	Técnica	Modificación	Fecha
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: Provocative insinuations	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en CONVIVENCIA Y RACISMO: Se fabrican episodios de choque vecinal, discriminación o supuestos privilegios que no aparecen en la fuente.	CONVIVENCIA Y RACISMO	invención de conflictos sociales o bulos	Original: Provocative insinuations. Se fabrican episodios de choque vecinal, discriminación o supuestos privilegios que no aparecen en la fuente.	2021-09-07
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: Provocative insinuations	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en CONVIVENCIA Y RACISMO: Se reformula el contenido con términos alarmistas y confrontativos para presentar la diversidad o la convivencia como una amenaza cultural.	CONVIVENCIA Y RACISMO	uso de lenguaje emocional y polarización	Original: Provocative insinuations. Se reformula el contenido con términos alarmistas y confrontativos para presentar la diversidad o la convivencia como una amenaza cultural.	2021-09-07
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: Análisis de los bulos sobre covid-19 desmentidos por Maldita y Colombiacheck: efectos de la infodemia sobre el comportamiento de la sociedad	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en SANIDAD: Se atribuye falsamente a la población migrante un colapso sanitario, contagios o trato preferente que no figura en el texto original.	SANIDAD	invención de saturación o riesgos sanitarios	Original: Análisis de los bulos sobre covid-19 desmentidos por Maldita y Colombiacheck: efectos de la infodemia sobre el comportamiento de la sociedad. Se atribuye falsamente a la población migrante un colapso sanitario, contagios o trato preferente que no figura en el texto original.	2022-03-17
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: Análisis de los bulos sobre covid-19 desmentidos por Maldita y Colombiacheck: efectos de la infodemia sobre el comportamiento de la sociedad	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en SANIDAD: Se enfatizan problemas reales de acceso o atención para sugerir sin base que la migración quita recursos sanitarios a la población local.	SANIDAD	sesgo de escasez y competencia por recursos	Original: Análisis de los bulos sobre covid-19 desmentidos por Maldita y Colombiacheck: efectos de la infodemia sobre el comportamiento de la sociedad. Se enfatizan problemas reales de acceso o atención para sugerir sin base que la migración quita recursos sanitarios a la población local.	2022-03-17
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: Honduras 2019: persistente inestabilidad económica y social y debilidad institucional	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en POLÍTICA Y LEYES: Se inventa una reforma legal, acuerdo de gobierno o imposición institucional que el texto original no contiene.	POLÍTICA Y LEYES	atribución de decisiones políticas inexistentes	Original: Honduras 2019: persistente inestabilidad económica y social y debilidad institucional. Se inventa una reforma legal, acuerdo de gobierno o imposición institucional que el texto original no contiene.	2020-01-01
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: Honduras 2019: persistente inestabilidad económica y social y debilidad institucional	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en POLÍTICA Y LEYES: Se aíslan fragmentos sobre políticas o debates para insinuar cesiones, imposiciones o efectos extremos que el trabajo original no sostiene.	POLÍTICA Y LEYES	descontextualización normativa	Original: Honduras 2019: persistente inestabilidad económica y social y debilidad institucional. Se aíslan fragmentos sobre políticas o debates para insinuar cesiones, imposiciones o efectos extremos que el trabajo original no sostiene.	2020-01-01
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: Grupos minoritarios en la ficción televisiva española: análisis de contenido y percepciones ciudadanas para la creación de un índice de diversidad	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en CONVIVENCIA Y RACISMO: Se fabrican episodios de choque vecinal, discriminación o supuestos privilegios que no aparecen en la fuente.	CONVIVENCIA Y RACISMO	invención de conflictos sociales o bulos	Original: Grupos minoritarios en la ficción televisiva española: análisis de contenido y percepciones ciudadanas para la creación de un índice de diversidad. Se fabrican episodios de choque vecinal, discriminación o supuestos privilegios que no aparecen en la fuente.	2020-01-01
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: Grupos minoritarios en la ficción televisiva española: análisis de contenido y percepciones ciudadanas para la creación de un índice de diversidad	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en CONVIVENCIA Y RACISMO: Se reformula el contenido con términos alarmistas y confrontativos para presentar la diversidad o la convivencia como una amenaza cultural.	CONVIVENCIA Y RACISMO	uso de lenguaje emocional y polarización	Original: Grupos minoritarios en la ficción televisiva española: análisis de contenido y percepciones ciudadanas para la creación de un índice de diversidad. Se reformula el contenido con términos alarmistas y confrontativos para presentar la diversidad o la convivencia como una amenaza cultural.	2020-01-01
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: El islam en el espacio público de los barrios multiculturales del sur de Europa: el caso de Lavapiés, Madrid	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en CONVIVENCIA Y RACISMO: Se fabrican episodios de choque vecinal, discriminación o supuestos privilegios que no aparecen en la fuente.	CONVIVENCIA Y RACISMO	invención de conflictos sociales o bulos	Original: El islam en el espacio público de los barrios multiculturales del sur de Europa: el caso de Lavapiés, Madrid. Se fabrican episodios de choque vecinal, discriminación o supuestos privilegios que no aparecen en la fuente.	2020-12-30
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: El islam en el espacio público de los barrios multiculturales del sur de Europa: el caso de Lavapiés, Madrid	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en CONVIVENCIA Y RACISMO: Se reformula el contenido con términos alarmistas y confrontativos para presentar la diversidad o la convivencia como una amenaza cultural.	CONVIVENCIA Y RACISMO	uso de lenguaje emocional y polarización	Original: El islam en el espacio público de los barrios multiculturales del sur de Europa: el caso de Lavapiés, Madrid. Se reformula el contenido con términos alarmistas y confrontativos para presentar la diversidad o la convivencia como una amenaza cultural.	2020-12-30
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: La identidad del educador infantil desde las narrativas biográficas	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en INFANCIA: Se sustituye el enfoque de protección infantil por una narrativa inventada de amenaza o descontrol atribuida a menores migrantes.	INFANCIA	criminalización fabricada de menores	Original: La identidad del educador infantil desde las narrativas biográficas. Se sustituye el enfoque de protección infantil por una narrativa inventada de amenaza o descontrol atribuida a menores migrantes.	2021-10-20
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: La identidad del educador infantil desde las narrativas biográficas	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en INFANCIA: Se toman elementos reales sobre tutela, edad o centros y se reencuadran con un tono alarmista que presenta a los menores como problema social.	INFANCIA	reinterpretación narrativa de datos reales	Original: La identidad del educador infantil desde las narrativas biográficas. Se toman elementos reales sobre tutela, edad o centros y se reencuadran con un tono alarmista que presenta a los menores como problema social.	2021-10-20
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: Reflexiones sobre los delitos de odio y las víctimas especialmente vulnerables	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en CRIMINALIDAD: Se inventa una relación causal directa entre inmigración y delincuencia que no aparece en el texto original, atribuyendo delitos, detenciones u operaciones policiales inexistentes.	CRIMINALIDAD	invención de hechos delictivos y generalización	Original: Reflexiones sobre los delitos de odio y las víctimas especialmente vulnerables. Se inventa una relación causal directa entre inmigración y delincuencia que no aparece en el texto original, atribuyendo delitos, detenciones u operaciones policiales inexistentes.	2023-01-01
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: Reflexiones sobre los delitos de odio y las víctimas especialmente vulnerables	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en CRIMINALIDAD: Se seleccionan referencias parciales a seguridad o violencia y se reinterpretan para insinuar una ola delictiva asociada a personas migrantes, omitiendo matices y contexto.	CRIMINALIDAD	mezcla de dato real con conclusión falsa	Original: Reflexiones sobre los delitos de odio y las víctimas especialmente vulnerables. Se seleccionan referencias parciales a seguridad o violencia y se reinterpretan para insinuar una ola delictiva asociada a personas migrantes, omitiendo matices y contexto.	2023-01-01
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: Educación Física, deporte e inmigración: analizando críticamente algunas posibilidades para Chile	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en CONVIVENCIA Y RACISMO: Se fabrican episodios de choque vecinal, discriminación o supuestos privilegios que no aparecen en la fuente.	CONVIVENCIA Y RACISMO	invención de conflictos sociales o bulos	Original: Educación Física, deporte e inmigración: analizando críticamente algunas posibilidades para Chile. Se fabrican episodios de choque vecinal, discriminación o supuestos privilegios que no aparecen en la fuente.	2021-11-23
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: Educación Física, deporte e inmigración: analizando críticamente algunas posibilidades para Chile	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en CONVIVENCIA Y RACISMO: Se reformula el contenido con términos alarmistas y confrontativos para presentar la diversidad o la convivencia como una amenaza cultural.	CONVIVENCIA Y RACISMO	uso de lenguaje emocional y polarización	Original: Educación Física, deporte e inmigración: analizando críticamente algunas posibilidades para Chile. Se reformula el contenido con términos alarmistas y confrontativos para presentar la diversidad o la convivencia como una amenaza cultural.	2021-11-23
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: La inmigración a España a fines del siglo XX los que vienen a trabajar y los que vienen a descansar	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en TRABAJO: Se transforma el contenido en una acusación falsa sobre sustitución laboral, fraude en ayudas o privilegios de empleo inexistentes.	TRABAJO	invención de fraude laboral o privilegios	Original: La inmigración a España a fines del siglo XX los que vienen a trabajar y los que vienen a descansar. Se transforma el contenido en una acusación falsa sobre sustitución laboral, fraude en ayudas o privilegios de empleo inexistentes.	2024-03-07
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: La inmigración a España a fines del siglo XX los que vienen a trabajar y los que vienen a descansar	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en TRABAJO: Se resaltan precariedad, competencia o explotación de forma parcial para insinuar que la migración perjudica sistemáticamente a los trabajadores autóctonos.	TRABAJO	reformulación sesgada de conflicto laboral	Original: La inmigración a España a fines del siglo XX los que vienen a trabajar y los que vienen a descansar. Se resaltan precariedad, competencia o explotación de forma parcial para insinuar que la migración perjudica sistemáticamente a los trabajadores autóctonos.	2024-03-07
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: Las iglesias ortodoxas entre lo global, lo nacional y lo transnacional: apuntes sobre el caso español	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en CONVIVENCIA Y RACISMO: Se fabrican episodios de choque vecinal, discriminación o supuestos privilegios que no aparecen en la fuente.	CONVIVENCIA Y RACISMO	invención de conflictos sociales o bulos	Original: Las iglesias ortodoxas entre lo global, lo nacional y lo transnacional: apuntes sobre el caso español. Se fabrican episodios de choque vecinal, discriminación o supuestos privilegios que no aparecen en la fuente.	2020-06-30
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: Las iglesias ortodoxas entre lo global, lo nacional y lo transnacional: apuntes sobre el caso español	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en CONVIVENCIA Y RACISMO: Se reformula el contenido con términos alarmistas y confrontativos para presentar la diversidad o la convivencia como una amenaza cultural.	CONVIVENCIA Y RACISMO	uso de lenguaje emocional y polarización	Original: Las iglesias ortodoxas entre lo global, lo nacional y lo transnacional: apuntes sobre el caso español. Se reformula el contenido con términos alarmistas y confrontativos para presentar la diversidad o la convivencia como una amenaza cultural.	2020-06-30
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: Reto demográfico, migración y arraigo de los jóvenes rurales	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en TRÁMITES DE EXTRANJERÍA: Se presenta como hecho un supuesto endurecimiento o colapso de trámites, citas, arraigo, permisos o nacionalidad que no está respaldado por el contenido original.	TRÁMITES DE EXTRANJERÍA	invención de cambios administrativos	Original: Reto demográfico, migración y arraigo de los jóvenes rurales. Se presenta como hecho un supuesto endurecimiento o colapso de trámites, citas, arraigo, permisos o nacionalidad que no está respaldado por el contenido original.	2024-01-09
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: Reto demográfico, migración y arraigo de los jóvenes rurales	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en TRÁMITES DE EXTRANJERÍA: Se exageran demoras o dificultades administrativas reales para convertirlas en una supuesta regla general o una política deliberada de exclusión.	TRÁMITES DE EXTRANJERÍA	uso de casos aislados como norma	Original: Reto demográfico, migración y arraigo de los jóvenes rurales. Se exageran demoras o dificultades administrativas reales para convertirlas en una supuesta regla general o una política deliberada de exclusión.	2024-01-09
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: Los estudiantes venezolanos en España: un colectivo migratorio cualificado afectado por el conflicto	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en ASILO Y REFUGIO: Se afirma sin base que el asilo se concede de forma automática, fraudulenta o masiva a personas que no cumplen requisitos.	ASILO Y REFUGIO	invención de concesiones o fraudes de asilo	Original: Los estudiantes venezolanos en España: un colectivo migratorio cualificado afectado por el conflicto. Se afirma sin base que el asilo se concede de forma automática, fraudulenta o masiva a personas que no cumplen requisitos.	2020-07-14
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: Los estudiantes venezolanos en España: un colectivo migratorio cualificado afectado por el conflicto	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en ASILO Y REFUGIO: Se mezclan categorías jurídicas y contextos de persecución o guerra con argumentos de orden público para distorsionar el sentido del texto.	ASILO Y REFUGIO	confusión entre asilo, migración y seguridad	Original: Los estudiantes venezolanos en España: un colectivo migratorio cualificado afectado por el conflicto. Se mezclan categorías jurídicas y contextos de persecución o guerra con argumentos de orden público para distorsionar el sentido del texto.	2020-07-14
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: Metodología de atención a inmigrantes y refugiados políticos en instituciones de enseñanza no reglada de EL/2	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en ASILO Y REFUGIO: Se afirma sin base que el asilo se concede de forma automática, fraudulenta o masiva a personas que no cumplen requisitos.	ASILO Y REFUGIO	invención de concesiones o fraudes de asilo	Original: Metodología de atención a inmigrantes y refugiados políticos en instituciones de enseñanza no reglada de EL/2. Se afirma sin base que el asilo se concede de forma automática, fraudulenta o masiva a personas que no cumplen requisitos.	2022-12-26
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: Metodología de atención a inmigrantes y refugiados políticos en instituciones de enseñanza no reglada de EL/2	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en ASILO Y REFUGIO: Se mezclan categorías jurídicas y contextos de persecución o guerra con argumentos de orden público para distorsionar el sentido del texto.	ASILO Y REFUGIO	confusión entre asilo, migración y seguridad	Original: Metodología de atención a inmigrantes y refugiados políticos en instituciones de enseñanza no reglada de EL/2. Se mezclan categorías jurídicas y contextos de persecución o guerra con argumentos de orden público para distorsionar el sentido del texto.	2022-12-26
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: Individuos políticamente descontentos con la democracia	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en POLÍTICA Y LEYES: Se inventa una reforma legal, acuerdo de gobierno o imposición institucional que el texto original no contiene.	POLÍTICA Y LEYES	atribución de decisiones políticas inexistentes	Original: Individuos políticamente descontentos con la democracia. Se inventa una reforma legal, acuerdo de gobierno o imposición institucional que el texto original no contiene.	2022-12-20
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: Individuos políticamente descontentos con la democracia	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en POLÍTICA Y LEYES: Se aíslan fragmentos sobre políticas o debates para insinuar cesiones, imposiciones o efectos extremos que el trabajo original no sostiene.	POLÍTICA Y LEYES	descontextualización normativa	Original: Individuos políticamente descontentos con la democracia. Se aíslan fragmentos sobre políticas o debates para insinuar cesiones, imposiciones o efectos extremos que el trabajo original no sostiene.	2022-12-20
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: Entre la aceptación de la inmigración y la amenza identitaria. El reflejo en la prensa de los discursos políticos sobre la inmigración durante las elecciones al parlamento de España en abril de 2019	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en CONVIVENCIA Y RACISMO: Se fabrican episodios de choque vecinal, discriminación o supuestos privilegios que no aparecen en la fuente.	CONVIVENCIA Y RACISMO	invención de conflictos sociales o bulos	Original: Entre la aceptación de la inmigración y la amenza identitaria. El reflejo en la prensa de los discursos políticos sobre la inmigración durante las elecciones al parlamento de España en abril de 2019. Se fabrican episodios de choque vecinal, discriminación o supuestos privilegios que no aparecen en la fuente.	2021-01-20
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: Entre la aceptación de la inmigración y la amenza identitaria. El reflejo en la prensa de los discursos políticos sobre la inmigración durante las elecciones al parlamento de España en abril de 2019	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en CONVIVENCIA Y RACISMO: Se reformula el contenido con términos alarmistas y confrontativos para presentar la diversidad o la convivencia como una amenaza cultural.	CONVIVENCIA Y RACISMO	uso de lenguaje emocional y polarización	Original: Entre la aceptación de la inmigración y la amenza identitaria. El reflejo en la prensa de los discursos políticos sobre la inmigración durante las elecciones al parlamento de España en abril de 2019. Se reformula el contenido con términos alarmistas y confrontativos para presentar la diversidad o la convivencia como una amenaza cultural.	2021-01-20
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: Ideología, polarización afectiva y análisis del discurso	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en POLÍTICA Y LEYES: Se inventa una reforma legal, acuerdo de gobierno o imposición institucional que el texto original no contiene.	POLÍTICA Y LEYES	atribución de decisiones políticas inexistentes	Original: Ideología, polarización afectiva y análisis del discurso. Se inventa una reforma legal, acuerdo de gobierno o imposición institucional que el texto original no contiene.	2022-12-19
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: Ideología, polarización afectiva y análisis del discurso	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en POLÍTICA Y LEYES: Se aíslan fragmentos sobre políticas o debates para insinuar cesiones, imposiciones o efectos extremos que el trabajo original no sostiene.	POLÍTICA Y LEYES	descontextualización normativa	Original: Ideología, polarización afectiva y análisis del discurso. Se aíslan fragmentos sobre políticas o debates para insinuar cesiones, imposiciones o efectos extremos que el trabajo original no sostiene.	2022-12-19
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: Los tortuosos caminos de la migración venezolana en Sudamérica: tránsitos precarios y cierre de fronteras	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en VIGILANCIA DE FRONTERAS: Se afirma falsamente que se han retirado controles, abierto fronteras o perdido el control territorial sin base en el contenido original.	VIGILANCIA DE FRONTERAS	invención de fallos o aperturas fronterizas	Original: Los tortuosos caminos de la migración venezolana en Sudamérica: tránsitos precarios y cierre de fronteras. Se afirma falsamente que se han retirado controles, abierto fronteras o perdido el control territorial sin base en el contenido original.	2020-05-30
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: Los tortuosos caminos de la migración venezolana en Sudamérica: tránsitos precarios y cierre de fronteras	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en VIGILANCIA DE FRONTERAS: Se amplifican episodios o debates sobre frontera para transmitir una imagen de colapso permanente del control fronterizo.	VIGILANCIA DE FRONTERAS	exageración operativa	Original: Los tortuosos caminos de la migración venezolana en Sudamérica: tránsitos precarios y cierre de fronteras. Se amplifican episodios o debates sobre frontera para transmitir una imagen de colapso permanente del control fronterizo.	2020-05-30
