Titular	Etiqueta	Cuerpo	Tema	URL	Fecha	Fuente	Fecha_extraccion
Cuerpos frontera. Expresiones de violencias en los procesos de deportación, explotación y exclusión	VERDADERO	Hace 10 días - En el presente artículo se analizan las recientes deportaciones de Estados Unidos hacia México, enmarcadas en un contexto de criminalización de la migración e …	INMIGRACION	https://revistas.upn.edu.co/index.php/revistafba/article/view/23867	2026	revistas.upn.edu.co	2026-03-23 13:56:32
Herramientas para personas que brindan acompañamiento psicosocial a niñas y niños en condición de migración	VERDADERO	Hace 10 días - Este compendio de herramientas que complementa al cuento ilustrado Paso de tortuga, está pensado para personas que brindan acompañamiento psicosocial a niñas y …	INMIGRACION	https://repositorio.cetys.mx/handle/60000/2008	2026	2026	2026-03-23 13:56:32
La aplicación del Convenio Europeo de Derechos Humanos a las operaciones de salvamento y rescate de inmigrantes en alta mar	VERDADERO	Hace 11 días - [spa] Teniendo en cuenta que en las operaciones de salvamento y rescate que se han desarrollado en alta mar del Mediterráneo han participado tanto buques de …	INMIGRACION	https://repositori.uib.es/xmlui/handle/11201/171363	2025	repositori.uib.es	2026-03-23 13:56:32
Cities Creating Citizens: Policy Feedback and the Effects of Local Naturalization Support on Immigrant Civic Engagement	VERDADERO	Hace 11 días - Despite an increasingly hostile federal stance towards immigrants, cities across the United States have passed policies and implemented programs that help eligible …	INMIGRACION	https://onlinelibrary.wiley.com/doi/abs/10.1111/psj.70111	2026	Wiley Online Library	2026-03-23 13:56:32
Las actitudes punitivas hacia los inmigrantes en España	VERDADERO	Hace 11 días - … y simbólica que ha adquirido la inmigración en los debates actuales sobre delito, … criminológicos que examinan la relación entre inmigración y sistema penal. Se realizó …	INMIGRACION	https://riuma.uma.es/entities/publication/1a62e0e0-2e36-4710-9eac-1748882ab9b6	2026	2026	2026-03-23 13:56:32
El delito de TSH con especial referencia a determinadas cuestiones relacionadas con la finalidad de explotación sexual	VERDADERO	Hace 12 días - [ES] La TSH es un fenómeno de gran trascendencia en la actualidad y ello, no solo por su aumento considerable en los últimos años, sino porque supone uno de los …	INMIGRACION	https://buleria.unileon.es/handle/10612/27787		buleria.unileon.es	2026-03-23 13:56:32
La Protección de la Unidad Familiar en los Procesos Migratorios	VERDADERO	Hace 13 días - Argentina se caracteriza por tener una vasta inmigración , las personas arriban desde los diferentes países vecinos con la búsqueda de un futuro mejor, generalmente …	INMIGRACION	https://repositorio.21.edu.ar/items/dada352c-eda6-463a-8e9a-69d80cbbc138		repositorio.21.edu.ar	2026-03-23 13:56:32
La política de inmigración del Canadá y la importacia de sus relaciones con México	VERDADERO	Hace 13 días - El mundo contemporáneo se encuentra en un estado de interdependencia donde los conflictos internos de las naciones impactan de forma directa en la arena …	INMIGRACION	https://repositorioinstitucional.buap.mx/items/e1b542d1-a198-4e70-b269-3663617d0577		repositorioinstitucional.buap.mx	2026-03-23 13:56:32
Siete migraciones japonesas en MÃ© xico	VERDADERO	Hace 13 días - … las migraciones asiáticas comenzaron cuando la inmigración china, que había sido … la inmigración china y japonesa; b) si había diferencia entre una y otra inmigración , y …	INMIGRACION	https://muse.jhu.edu/book/74448/pdf/download		muse.jhu.edu	2026-03-23 13:56:32
Experiencias de los cuidadores durante la crianza de niños y adolescentes hijos de padres migrantes en la parroquia Cumbe	VERDADERO	Hace 13 días - La migración parental es un fenómeno social que transforma la dinámica familiar, especialmente cuando los niños y adolescentes permanecen en su lugar de origen …	INMIGRACION	https://dspace.ups.edu.ec/handle/123456789/32223	2026	2026	2026-03-23 13:56:32
Reseña a Miriam Valdés y Fernando Notario (eds.), La Antigua Grecia hoy. De la ciudadanía y sus límites al «desarrollo sostenible»	VERDADERO	Hace 13 días - Uno de los retos que afrontan hoy los estudios clásicos es generar interés en las nuevas generaciones. La tecnología, la virtualidad y la inmediatez en la que vivimos …	INMIGRACION	https://ojs.ehu.eus/index.php/Veleia/article/download/27961/26109	2026	Veleia, 2026	2026-03-23 13:56:32
Trayectorias y movilidad residencial de la población migrante venezolana. Caso de estudio en Quito, Ecuador	VERDADERO	Hace 16 días - La crisis migratoria y la crisis de vivienda son dos grandes problemas que enfrentan diversas ciudades a nivel global actualmente. En América Latina, la crisis migratoria …	INMIGRACION	https://repositorio.flacsoandes.edu.ec/items/e7086cf4-ab5d-4a4d-9966-2a7f9ae63db4		repositorio.flacsoandes.edu.ec	2026-03-23 13:56:32
DONALD TRUMP	VERDADERO	Hace 17 días - … , el accionar del Servicio de Inmigración y Control de … a los agentes de inmigración revisar cuentas de redes … las solicitudes de visa de inmigración para personas de la …	INMIGRACION	https://jornadaveracruz.com.mx/wp-content/uploads/2026/02/Sup-VeracruzMigranteFebrero2026.pdf		jornadaveracruz.com.mx	2026-03-23 13:56:32
La evolución de la población en Aragón y sus desequilibrios territoriales (2000-2024)	VERDADERO	Hace 17 días - … especial atención al papel de la inmigración y del crecimiento vegetativo, así como a la … inmigración en el territorio aragonés para impulsar el crecimiento demográfico. …	INMIGRACION	https://zaguan.unizar.es/record/169686		zaguan.unizar.es	2026-03-23 13:56:32
Exclusión social en la sociedad contemporánea: perspectivas teóricas y desafíos actuales	VERDADERO	Hace 18 días - Este capítulo presenta el estudio del fenómeno de la pedagogía social desdela aproximación a algunas definiciones, características y enfoques multidimensionales …	INMIGRACION	https://dialnet.unirioja.es/servlet/articulo?codigo=10616774	2026	dialnet.unirioja.es	2026-03-23 13:56:32
Gobernanza mundial:¿ una luz de esperanza?	VERDADERO	Hace 18 días - A la luz de la aparición de nuevos Estados de inmigración y rutas migratorias Sur-Sur, la relación entre migración y desarrollo se ve amenazada por las crecientes …	INMIGRACION	https://estudiosdeldesarrollo.mx/migracionydesarrollo/wp-content/uploads/2026/02/MyD44-Withol.pdf		estudiosdeldesarrollo.mx	2026-03-23 13:56:32
TESIS DOCTORAL Influencias de la globalización en las danzas clásicas indias bharata natyam y kathak: Un estudio desde la perspectiva del proceso creativo …	VERDADERO	Hace 19 días - … 5.2 Inmigración , diáspora y de(s)colonialidad en las danzas clásicas indias ..… La inmigración en el mediterráneo … la epistemología fronteriza con la inmigración , con el acto …	INMIGRACION	https://burjcdigital.urjc.es/server/api/core/bitstreams/d5cf6765-449a-4a77-84b7-2bb8533c3e35/content		burjcdigital.urjc.es	2026-03-23 13:56:32
Foráneos en su propia tierra: guatemaltecos en la zona fronteriza chiapaneca, 1824-1940	VERDADERO	Hace 23 días - … para buscar una solución a la inmigración irregular entre ambos países. Estos actores temían que la incontrolada inmigración de campesinos indígenas guatemaltecos a …	INMIGRACION	https://www.scielo.org.mx/scielo.php?pid=S1870-41152026000100105&script=sci_arttext	2026	scielo.org.mx	2026-03-23 13:56:32
Is Collaboration a Necessary Component of Problem-Based Learning?	VERDADERO	"Hace 24 días - En 1990, Japón enmendó su ley de inmigración y permitió a miles de descendientes de japoneses-llamados nikkei-, migrar a Japón, a su"" tierra natal"", buscando una …"	INMIGRACION	https://www.academia.edu/download/131918075/1.pdf	2020	academia.edu	2026-03-23 13:56:32
El problema moral de reconocer la inmigración : principios éticos para el reconocimiento de la personalidad moral de los individuos en situación de movilidad …	VERDADERO	Hace 24 días - La teoría política y jurídica contemporánea enfrenta un desafío normativo central: ¿cómo justificar las políticas de exclusión migratoria en sistemas que, al mismo tiempo, …	INMIGRACION	http://ilitia.cua.uam.mx:8080/jspui/handle/123456789/1299	2026	2026	2026-03-23 13:56:32
El inmigrante “indeseable”: construcción e internacionalización de una figura legal de exclusión en América Latina en la primera mitad del siglo xx	VERDADERO	Hace 25 días - … La inmigración , asunto de Estado desde finales del siglo xix, superó los debates … el derecho soberano de decidir sobre la inmigración , pasando incluso por encima de …	INMIGRACION	https://journals.openedition.org/nuevomundo/105956	2026	… mondes mondes nouveaux-Novo Mundo Mundos …, 2026	2026-03-23 13:56:32
Observaciones histórico-jurídicas del Derecho de Extranjería: de los albores del siglo XIX al ocaso del siglo XX	VERDADERO	Hace 25 días - [ES] El objeto de esta contribución es un retroceso al pasado del Derecho de Extranjería para abordar la influencia de las realidades históricas en su regulación ya tenor …	INMIGRACION	https://buleria.unileon.es/handle/10612/27567		buleria.unileon.es	2026-03-23 13:56:32
Propuesta de conservación preventiva para la colección de muñecas hina ningyo del Museo “Carlos Chiyoteru Hiraoka” de Lima	VERDADERO	Hace 25 días - La colección de muñecas hina ningyo, única del Museo de la Inmigración Japonesa “Carlos Chiyoteru Hiraoka”, constituye un puente educativo entre la cultura japonesa …	INMIGRACION	https://alicia.concytec.gob.pe/vufind/Record/UNMS_a3dc23390574e1ea8fd7cccbd6aaed25		alicia.concytec.gob.pe	2026-03-23 13:56:32
Valores en la literatura infantil actual	VERDADERO	Hace 26 días - Se proponen veinte libros (álbumes ilustrados) en torno a los que se reflexiona sobre la temática en la Literatura Infantil y Juvenil relacionada con los valores actuales: la …	INMIGRACION	https://repositorioinstitucional.ceu.es/entities/publication/8a61ea3d-771a-44b3-a5d1-03dbf486e2ab		repositorioinstitucional.ceu.es	2026-03-23 13:56:32
Análisis de la legislación española en materia de inmigración irregular y sus impactos en los derechos humanos de los inmigrantes en situación irregular	VERDADERO	Hace 26 días - La inmigracion irregular parece estar en boca de todos, sin embargo, la realidad de la situacion, la eficacia de la legislacion, la humanidad detrás de esas personas que …	INMIGRACION	https://repositorio.comillas.edu/xmlui/handle/11531/101484	2026	2026	2026-03-23 13:56:32
Buenos Aires porteña a mediados del Siglo XX Inmigración y vivienda. La novela realista, la novela semanal y el tango	VERDADERO	Hace 26 días - La historia de la ciudades, al menos occidentales, es la historia–entre otrasde los movimientos de masas humanas, producidos por las decisiones político-económicas …	INMIGRACION	https://www.academia.edu/download/122586048/Buenos_Aires_portena_a_mediados_del_Siglo_XX_Inmigracion_y_vivienda._La_novela_realista_la_novela_semanal_y_el_tango.pdf		academia.edu	2026-03-23 13:56:32
Boat Charlie and the right to life1	VERDADERO	Hace 26 días - On the night of 23rd-24th ofNovember 2021, at least 33 people set out from France toward England in a small inflatable boat. Some hours later, the boat began to sink …	INMIGRACION	https://riuma.uma.es/bitstreams/4a739754-8081-4cb7-bad1-3573304b887f/download	2026	2026	2026-03-23 13:56:32
Terapia cognitiva conductual basada en el trauma para el tratamiento de estrés postraumático en población infantil	VERDADERO	Hace 26 días - … Estos acontecimientos abarcan actos violentos, catástrofes naturales y accidentes no previstos, desplazamiento forzoso, inmigración , conflictos armados o guerras, entre …	INMIGRACION	https://bonga.unisimon.edu.co/items/8746b731-d91a-4419-a365-7939fd6549b2	2026	2026	2026-03-23 13:56:32
La Argentina Criolla¿ Identidad negada o inconclusa?	VERDADERO	Hace 26 días - … hacia su condición y esencia de “criollos”; identidad que fue nuevamente anulada, su “entidad constitutiva criolla”, con el advenimiento de la masiva inmigración de los …	INMIGRACION	https://fundaciongladius.org/historia/argentina_criolla_etchebarne.pdf		fundaciongladius.org	2026-03-23 13:56:32
Malabares discursivos Trump, tiroteos masivos y nacionalismo conservador	VERDADERO	Hace 27 días - … buscaron activar marcos coherentes con la defensa de las armas, la exaltación del excepcionalismo estadounidense y la criminalización de la inmigración , incluso en …	INMIGRACION	https://www.scielo.org.mx/scielo.php?pid=S0188-25032026000100009&script=sci_arttext	2026	scielo.org.mx	2026-03-23 13:56:32
Representaciones sociales en los medios de prensa online chilena respecto a inmigrantes en Chile	VERDADERO	Hace 27 días - … Destaca en los resultados que la prensa escrita chilena representa negativamente a los inmigrantes, basándose en discursos políticos que asocian la inmigración con …	INMIGRACION	https://revistascientificas.uspceu.com/doxacomunicacion/article/view/2834	2026	revistascientificas.uspceu.com	2026-03-23 13:56:32
El deterioro demográfico español se agudiza	VERDADERO	Hace 29 días - … A este proceso se añade una llegada de inmigración de gran magnitud y escasa ordenación, alejada tanto de las necesidades reales del mercado de trabajo como de la …	INMIGRACION	https://repositorioinstitucional.ceu.es/entities/publication/66e87be8-3328-4fc3-976f-8876840bf628		repositorioinstitucional.ceu.es	2026-03-23 13:56:32
"… » reclama congelar los alquileres ante la subida de los precios por la guerra y califica de"" barbaridad"" que se plantee la inmigración como un problema:"" No …"	VERDADERO	"Hace 29 días - El secretario general de UGT a nivel nacional, Pepe Álvarez, visita la Región de Murcia este martes para desarrollar"" un intenso día de actividad sindical"". Durante el día …"	INMIGRACION	https://mysystemwig.ru/DOIx.php?id=10.12997/jla.2024.13.2.97india/bihar-election-results-2025-what-about-nitish-kumars-women-first-strategy-177397en/betting/infaits-divers/?share=threads.amp		mysystemwig.ru	2026-03-23 13:56:32
La pedagogía intercultural o la gestión educativa de la diversidad cultural	VERDADERO	Hace 29 días - … viejo continente, es el de la inmigración . Hasta el punto de afec… Referimos, pues, la inmigración como la manifestación … Es innegable que hoy la inmigración es tenida por …	INMIGRACION	https://octaedro.com/wp-content/uploads/2026/02/9788410792821.pdf		octaedro.com	2026-03-23 13:56:32
El smartphone y el uso de WhatsApp en un contexto de migración	VERDADERO	Hace 32 días - El smartphone es un objeto que ha transformado la comunicación entre las personas, las maneras en que socializan y cómo acceden a información para tomar …	INMIGRACION	https://tesis.pucp.edu.pe/items/51b0c597-c447-4dc7-9718-e51fda5ec2a1		tesis.pucp.edu.pe	2026-03-23 13:56:32
ALGUNAS MANIFESTACIONES DE LA COORDINACIÓN ENTRE LOS MEDIOS DISPONIBLES PARA HACER FRENTE A LA INMIGRACIÓN IRREGULAR	VERDADERO	Hace 32 días - En primer lugar, ya partir del concepto de Seguridad y de Seguridad marítima, se ha analizado el alcance de la inmigración irregular vía marítima en las Estrategias de …	INMIGRACION	https://www.torrossa.com/gs/resourceProxy?an=6146487&publisher=FZ1825#page=10		INMIGRACION MARÍTIMA Y ESTRATEGIAS DE …	2026-03-23 13:56:32
Construction of a (Non-) Multilingual Resort Town in Andalucía, Spain, through the Linguistic Landscape	VERDADERO	Hace 34 días - Este artículo se centra en el paisaje lingüístico de los barrios turísticos de Novo Sancti Petri/La Barrosa, Chiclana de la Frontera (España). El objetivo de este estudio es …	INMIGRACION	https://revistascientificas.us.es/index.php/PH/article/view/27758	2026	revistascientificas.us.es	2026-03-23 13:56:32
La brecha de rentas entre nativos e inmigrantes en España según su nivel educativo	VERDADERO	Hace 34 días - Desde 2016, España es el segundo país de la Unión Europea que más inmigración recibe anualmente y casi el 40% de los inmigrantes son personas de entre veinte y …	INMIGRACION	https://reis.cis.es/index.php/reis/article/view/2560	2026	Revista Española de Investigaciones …, 2026	2026-03-23 13:56:32
La edad como variable de la disponibilidad léxica de estudiantes chilenos y extranjeros del norte de Chile	VERDADERO	Hace 34 días - En este estudio abordamos cómo la variable edad afecta la disponibilidad léxica utilizando la metodología del Proyecto Panhispánico de Disponibilidad Léxica. El …	INMIGRACION	https://revistascientificas.us.es/index.php/PH/article/view/27501	2026	Philologia Hispalensis, 2026	2026-03-23 13:56:32
Viabilidad de las pensiones: la falsa dicotomía entre el cuidado de los mayores y un modelo demográfico insostenible.	VERDADERO	Hace 35 días - … El crecimiento de la población o el aumento de la inmigración de un país tiene repercusiones económicas de diversa índole. Las teorías de corte maltusiano o soloviano …	INMIGRACION	https://historiadelasideas.es/revista/article/view/48	2026	historiadelasideas.es	2026-03-23 13:56:32
